"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","92.78","37","y=0.35x+79.68","97.00","96.00","95.00","8.29","86.05","97.00","42.00","101.08","84.49"
"2","92.86","33","y=0.12x+88.96","94.00","94.00","85.00","5.18","90.85","102.00","79.00","98.04","87.68"
"3","101.25","22","y=1.12x+76.51","93.00","93.00","95.00","8.88","88.32","99.00","70.00","110.13","92.37"
"4","97.67","18","y=1.15x+76.92","97.00","98.00","91.00","7.90","86.72","98.00","65.00","105.57","89.77"
"5","93.13","13","y=1.67x+71.38","93.00","90.00","91.00","8.26","81.42","93.00","64.00","101.39","84.87"
"6","92.77","19","y=0.46x+84.11","84.00","91.00","80.00","6.96","88.21","99.00","75.00","99.73","85.82"
"7","104.03","22","y=0.93x+83.63","82.00","100.00","97.00","10.38","93.36","113.00","77.00","114.41","93.64"
"8","92.27","20","y=0.94x+73.47","93.00","91.00","92.00","6.41","82.40","94.00","70.00","98.68","85.86"
"9","100.48","12","y=2.24x+73.59","92.00","92.00","99.00","8.79","85.92","99.00","70.00","109.27","91.70"
"10","88.62","13","y=0.38x+83.62","82.00","98.00","90.00","4.89","85.92","98.00","77.00","93.51","83.72"
"11","98.23","22","y=0.81x+80.40","94.00","77.00","84.00","11.44","88.91","103.00","65.00","109.67","86.79"
