"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","100.26","17","y=1.79x+69.76","88.00","96.00","100.00","10.77","84.12","100.00","58.00","111.03","89.50"
"2","102.94","18","y=1.77x+71.16","91.00","100.00","95.00","12.33","86.17","100.00","56.00","115.28","90.61"
"3","90.71","7","y=2.68x+71.96","89.00","86.00","80.00","5.55","80.00","89.00","71.00","96.27","85.16"
"4","94.22","25","y=0.47x+82.57","95.00","95.00","87.00","4.66","88.16","95.00","80.00","98.88","89.56"
"5","96.92","29","y=0.84x+72.61","95.00","95.00","89.00","9.57","84.34","96.00","59.00","106.50","87.35"
"6","98.40","21","y=0.85x+80.54","95.00","91.00","91.00","8.36","89.05","99.00","69.00","106.77","90.04"
"7","96.42","24","y=1.17x+68.43","97.00","89.00","91.00","8.86","81.84","99.00","66.00","105.28","87.56"
"8","92.69","33","y=0.43x+78.54","100.00","92.00","86.00","7.56","85.40","100.00","65.00","100.25","85.12"
"9","100.99","29","y=0.52x+86.01","91.00","98.00","90.00","6.92","93.24","105.00","76.00","107.90","94.07"
"10","95.11","25","y=0.43x+84.40","89.54","95.00","96.00","5.04","89.54","96.00","77.00","100.15","90.06"
"11","89.69","14","y=0.56x+81.87","85.50","85.50","88.00","4.45","85.50","92.00","76.00","94.13","85.24"
"12","89.96","25","y=0.43x+79.27","86.00","92.00","90.00","4.66","84.40","92.00","74.00","94.62","85.30"
"13","95.00","5","y=4.20x+74.00","91.00","91.00","78.00","7.31","82.40","91.00","73.00","102.31","87.69"
"14","95.92","28","y=0.71x+76.00","93.00","99.00","92.00","8.20","85.61","99.00","68.00","104.12","87.72"
"15","97.18","14","y=1.40x+77.51","95.00","97.00","88.00","7.12","86.64","98.00","72.00","104.29","90.06"
"16","81.90","17","y=-0.21x+85.51","74.00","89.00","74.00","4.94","83.81","90.00","74.00","86.84","76.96"
"17","103.94","29","y=0.71x+83.48","99.00","95.00","99.00","10.96","93.36","111.00","62.00","114.90","92.98"
"18","100.20","11","y=1.93x+79.00","99.00","93.00","100.00","9.27","88.64","100.00","69.00","109.47","90.93"
