"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"6","6","96.73","6","y=3.97x+72.90","92","91","86","8.15","82.83","92","68","104.89","88.58"
"7","7","95.75","8","y=2.25x+77.75","94","87","90","5.81","85.63","94","76","101.56","89.94"
"8","8","92.71","8","y=2.55x+72.33","88","89","86","6.61","81.25","89","71","99.32","86.1"
"3","3","90","4","y=1.30x+84.80","87","90","86","2.17","86.75","90","84","92.17","87.83"
"5","5","88.67","6","y=1.57x+79.24","84","78","92","7.69","83.17","93","71","96.36","80.98"
"1","1","88","2","y=2.00x+84.00","86","84","0","1","85","86","84","89","87"
"9","9","86.57","7","y=2.11x+71.82","86","79","80","5.84","78.14","86","67","92.41","80.73"
"4","4","85.5","4","y=0.40x+83.90","86","83","85","1.12","84.5","86","83","86.62","84.38"
"13","13","85.5","4","y=0.10x+85.10","92","74","88","6.76","85.25","92","74","92.26","78.74"
"10","10","84.43","7","y=1.21x+75.93","91","72","75","6.59","79.57","91","72","91.02","77.84"
"2","2","83","7","y=1.89x+69.75","85","84","84","11.21","75.43","85","55","94.21","71.79"
"11","11","78.5","4","y=-0.40x+80.10","84","72","79","4.72","79.5","84","72","83.22","73.78"
"12","12","40.33","4","y=-7.20x+69.13","58.33","43","53","13.14","58.33","79","43","53.47","27.19"
