"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"13","13","109.79","14","y=2.76x+71.11","101","106","99","12.78","89.07","106","60","122.57","97.02"
"6","6","108.79","20","y=1.18x+85.19","91","97","107","9.18","96.4","112","79","117.98","99.61"
"1","1","108.23","15","y=1.58x+84.55","104","105","101","7.63","95.6","105","81","115.86","100.6"
"8","8","106.87","15","y=1.75x+80.62","105","98","102","8.29","92.87","105","78","115.16","98.57"
"12","12","103.05","16","y=1.26x+82.96","91","99","103","7.52","92.38","103","82","110.57","95.53"
"14","14","102.63","16","y=2.00x+70.70","101","94","98","10.8","85.67","102","69","113.42","91.83"
"10","10","101.74","36","y=0.29x+91.38","96","105","93","5.68","96.42","105","82","107.43","96.06"
"4","4","101.73","37","y=0.52x+82.62","96","96","101","6.95","91.92","102","76","108.68","94.78"
"11","11","101.3","15","y=1.60x+77.24","101","93","96","7.91","88.47","101","77","109.2","93.39"
"9","9","100.82","31","y=0.40x+88.36","100","94","94","6.51","94.39","105","79","107.33","94.31"
"5","5","100.2","28","y=0.67x+81.47","96","92","98","7.18","90.5","101","68","107.38","93.02"
"2","2","100.08","27","y=0.73x+80.35","96","100","102","7.72","89.85","102","72","107.8","92.36"
"3","3","98.46","42","y=0.39x+81.88","100","97","95","8.03","89.98","100","69","106.5","90.43"
"7","7","97.88","44","y=0.48x+76.78","100","93","103","8.47","87.09","103","56","106.35","89.41"
