"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","89.48","12","y=1.59x+70.44","93.00","87.00","74.00","8.64","79.17","93.00","57.00","98.12","80.85"
"2","85.00","2","y=2.00x+81.00","83.00","81.00","0.00","1.00","82.00","83.00","81.00","86.00","84.00"
"3","91.42","9","y=1.62x+76.87","90.00","84.00","87.00","4.90","83.33","90.00","73.00","96.32","86.52"
"4","100.00","4","y=6.60x+73.60","100.00","78.00","78.00","9.53","83.50","100.00","78.00","109.53","90.47"
"5","96.50","4","y=7.50x+66.50","90.00","84.00","66.00","9.65","77.75","90.00","66.00","106.15","86.85"
"6","85.00","10","y=0.65x+78.45","81.00","90.00","77.00","4.29","81.40","90.00","76.00","89.29","80.71"
"7","89.93","8","y=1.01x+81.83","89.00","87.00","84.00","3.84","85.38","89.00","77.00","93.77","86.09"
"8","88.93","6","y=2.17x+75.90","83.00","92.00","85.00","6.72","81.33","92.00","72.00","95.66","82.21"
"9","95.60","5","y=7.60x+57.60","82.00","87.00","82.00","13.88","72.80","87.00","51.00","109.48","81.72"
"10","78.50","3","y=2.50x+71.00","76.00","73.50","71.00","2.04","73.50","76.00","71.00","80.54","76.46"
"11","89.40","6","y=2.54x+74.14","94.00","76.00","81.00","6.34","80.50","94.00","75.00","95.74","83.06"
"12","105.13","6","y=8.94x+51.48","91.00","86.00","78.00","18.56","73.83","91.00","34.00","123.69","86.57"
"13","78.43","10","y=0.17x+76.74","90.00","66.00","77.00","5.38","77.50","90.00","66.00","83.81","73.06"
"14","85.88","15","y=1.84x+58.23","73.00","88.00","75.00","9.69","71.13","88.00","55.00","95.57","76.18"
"15","93.60","5","y=2.00x+83.60","89.00","91.00","91.00","3.56","87.60","91.00","82.00","97.16","90.04"
"16","88.14","8","y=0.86x+81.29","89.00","81.00","88.00","3.86","84.29","89.00","79.00","92.01","84.28"
