"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","85.50","4","y=4.10x+69.10","82.00","76.00","74.00","4.66","75.25","82.00","69.00","90.16","80.84"
"2","98.60","5","y=3.60x+80.60","94.00","93.00","86.00","5.42","87.80","94.00","79.00","104.02","93.18"
"3","97.70","5","y=3.90x+78.20","88.00","96.00","89.00","6.90","86.00","96.00","76.00","104.60","90.80"
"4","94.50","4","y=2.70x+83.70","93.00","85.00","91.00","4.44","87.75","93.00","82.00","98.94","90.06"
"5","89.71","7","y=2.43x+72.71","88.00","92.00","83.00","7.82","80.00","92.00","67.00","97.53","81.89"
"6","79.68","8","y=-0.15x+80.92","82.00","77.00","79.00","2.12","80.38","84.00","77.00","81.80","77.56"
"7","67.92","9","y=-0.69x+74.14","71.38","64.00","71.00","4.21","71.38","78.00","64.00","72.13","63.70"
"8","84.79","8","y=1.87x+69.83","69.00","92.00","83.00","8.54","76.38","92.00","61.00","93.33","76.24"
"9","83.00","1","y=0x+0","83.00","0.00","0.00","0.00","83.00","83.00","83.00","0","0"
"10","89.67","3","y=5.00x+74.67","85.00","79.00","75.00","4.11","79.67","85.00","75.00","93.78","85.56"
