1,B,1,,,,,エニシイチダイ,,牡,3,,松山弘平,56,  , ,101,+,T1800,逃, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,モズドゥーチェ,,牡,3,,小牧太,56,  , ,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,サウンドバゴダンス,,牝,3,*,鮫島良太,54,  , , 82,,T2000,後, 64,+,T1600,先, 66,|,T2000,先, 62,|,T1800,後, 70,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ヒトミヲトジテ,,牝,3,*,国分優作,54,  , , 90,,D1400,中, 62,|,D1700,中, 38,+,T1800,先, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ブリヤン,,牡,3,,幸英明,56,  , , 90,,D1400,後, 54,+,D1800,逃, 63,|,D1800,先, 70,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ロンギヌス,,牡,3,*,水口優也,56,  , , 90,,T1800,後, 65,|,T1600,後, 68,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,スウィートテイルズ,,牝,3,,ルメール,54,  , ,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,シャッターチャンス,,牡,3,*,福永祐一,56,  , ,116,,T1800,後, 80,+,T1800,中, 80,|,T1800,中, 84,|,T1800,先, 78,|,T1600,後, 82,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,アヴェントゥリーナ,,牝,3,*,岩崎翼,52,△, , 97,,T1400,中, 71,+,T1600,中, 67,|,T1800,後, 67,|,T1800,先, 63,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,トキワ,,牝,3,*,戸崎圭太,54,  , ,104,,T1600,先, 59,|,T1800,逃, 80,|,T1600,先, 85,|,T1600,先, 78,|,T1600,先, 83,|,T1600,中, 82,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ウォーターエライ,,牡,3,*,菱田裕二,56,  , , 86,+,T1600,中, 61,|,T1600,後, 67,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,12,,,,,ウォーターマグレブ,,牡,3,,畑端省吾,56,  , , 90,,D1800,後, 59,|,D1800,中, 61,|,D1800,中, 43,|,D1800,後, 46,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,メイショウナガヨリ,,牡,3,,酒井学,56,  , , 91,,T1600,後, 73,+,T1800,後, 67,|,T1600,後, 59,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,14,,,,,ダイゴサクラ,,牝,3,*,城戸義政,51,▲, , 94,,T2000,中, 69,|,T1200,中, 51,|,D1200,中, 58,|,T1400,後, 71,|,D1200,中, 67,|,D1400,逃, 66,|,T1400,逃, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,15,,,,,ピースオブジャパン,,牡,3,*,藤岡康太,56,  , ,111,,T1600,先, 72,|,T1800,先, 77,|,T1800,先, 82,|,T1600,後, 79,|,T1600,先, 81,|,T1600,先, 80,|,T1600,先, 77,+,T1800,先, 77,|,T1400,先, 79,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,フェリシダーデス,,牝,3,*,四位洋文,54,  , , 95,+,T1600,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,カガノカリスマ,,牡,3,*,義英真,53,▲, , 91,,T1800,後, 61,|,T1600,中, 71,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,18,,,,,スズカプレスト,,牡,3,*,岩田康誠,56,  , ,111,,T2000,逃, 79,+,D1800,後, 73,|,D1800,中, 70,|,D1800,中, 66,+,T1400,後, 69,|,T1800,後, 60,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
