"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"14","14","94.44","11","y=2.07x+71.64","91","91","93","9.31","82","93","59","103.75","85.12"
"11","11","90.24","14","y=1.20x+73.42","90","82","85","8.44","81.23","91","66","98.67","81.8"
"8","8","90.11","32","y=0.18x+84.46","88","94","94","4.33","87.19","94","76","94.44","85.77"
"3","3","88.68","11","y=1.23x+75.15","84","82","68","11","81.3","98","64","99.68","77.68"
"2","2","86.1","16","y=-0.04x+86.74","84","86","89","5.1","86.44","96","71","91.2","81"
"10","10","84.68","15","y=-0.01x+84.78","75","86","90","4.12","84.73","90","75","88.8","80.55"
"12","12","83.31","27","y=0.55x+68.36","73","87","77","8.6","75.56","91","50","91.9","74.71"
"7","7","82.81","9","y=1.25x+71.56","86","87","83","11.46","76.56","87","48","94.27","71.34"
"6","6","79.54","15","y=1.64x+54.90","70","61","80","9.71","66.4","81","53","89.25","69.84"
"5","5","79","22","y=0.04x+78.13","81","77","85","4.56","78.55","88","67","83.56","74.44"
"13","13","78.5","4","y=1.50x+72.50","86","64","70","8.41","74.75","86","64","86.91","70.09"
"15","15","78.01","19","y=0.99x+59.23","80","80","68.13","11.05","68.13","80","39","89.06","66.96"
"4","4","77.92","26","y=0.16x+73.78","70","80","87","6.69","75.77","90","64","84.61","71.23"
"1","1","75.03","7","y=0.06x+74.63","74.8","73","77","1.35","74.8","77","73","76.38","73.68"
"9","9","68.89","18","y=0.74x+55.63","73","61.89","69","7.95","61.89","76","45","76.84","60.93"
