"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","95.55","17","y=1.12x+76.51","95.00","99.00","94.00","7.13","85.47","99.00","76.00","102.68","88.42"
"2","95.10","32","y=0.03x+94.18","91.00","90.00","94.00","4.05","94.63","101.00","78.00","99.14","91.05"
"3","108.17","22","y=1.09x+84.19","103.00","106.00","102.00","7.91","95.64","106.00","75.00","116.08","100.26"
"4","91.70","31","y=0.42x+78.72","87.00","96.00","103.00","6.50","85.00","103.00","72.00","98.20","85.20"
"5","100.34","52","y=0.37x+81.22","97.00","97.00","97.00","7.94","90.60","104.00","71.00","108.29","92.40"
"6","101.43","22","y=0.83x+83.21","99.00","87.00","100.00","8.15","91.90","103.00","70.00","109.58","93.29"
"7","104.49","24","y=1.29x+73.55","107.00","101.00","98.00","10.20","88.38","107.00","65.00","114.69","94.29"
"8","106.29","25","y=1.46x+69.81","93.00","101.00","101.00","12.24","87.32","106.00","64.00","118.53","94.05"
"9","108.10","20","y=1.81x+71.81","104.00","104.00","99.00","11.90","89.05","107.00","64.00","120.00","96.20"
"10","110.22","11","y=2.99x+77.32","107.00","107.00","100.00","10.15","92.27","107.00","72.00","120.36","100.07"
"11","108.24","11","y=3.69x+67.64","101.00","102.00","101.00","13.31","86.09","102.00","58.00","121.55","94.93"
"12","97.27","23","y=0.67x+81.90","90.00","98.00","88.00","7.61","89.25","102.00","71.00","104.88","89.66"
"13","99.71","17","y=1.14x+80.25","92.00","103.00","102.00","8.45","89.41","103.00","72.00","108.16","91.26"
"14","98.88","35","y=0.50x+81.39","101.00","99.00","98.00","7.48","89.89","103.00","71.00","106.36","91.40"
"15","99.62","57","y=0.26x+85.03","102.00","93.00","94.00","8.99","92.20","104.00","65.00","108.61","90.63"
"16","96.98","11","y=1.07x+85.18","101.00","99.00","81.00","6.84","90.55","101.00","80.00","103.82","90.14"
