1,,1,,,,,ヤマニントライブ,,牡,3,,城戸義政,53,▲, , 85,,D1800,後, 61,|,D1900,後, 55,|,D1800,中, 58,|,D1800,中, 70,|,T2200,後, 46,+,T2000,後, 66,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,サマーローズ,,牝,3,*,藤岡佑介,54,  , , 94,,T1800,後, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,シビックハート,,牝,3,*,加藤祥太,51,▲, , 90,,T2000,後, 70,|,T2400,中, 56,|,T2000,中, 76,|,T1800,後, 68,|,T1800,後, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,レッドサバス,,牡,3,*,福永祐一,56,  , ,125,,T2400,先, 77,|,T2200,中, 78,|,T2200,中, 78,|,T2400,中, 78,|,T2200,中, 76,|,T2200,中, 80,|,T2000,中, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,キングパール,,牡,3,,武豊,56,  , ,101,+,T2000,中, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,タツゴウゲキ,,牡,3,,川田将雅,56,  , ,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,7,,,,,インスパイアー,,牡,3,*,Ｍ．デム,56,  , , 98,,T1400,中, 71,|,T1600,後, 63,|,T2000,中, 65,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,テイエムヤゴロドン,,セ,3,*,鮫島克駿,53,▲, , 96,,T2000,逃, 51,|,T2000,逃, 70,|,T2000,逃, 74,+,D1400,中, 57,+,T1800,先, 48,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,タイセイブレイド,,牡,3,*,松山弘平,56,  , ,110,,T2000,後, 78,|,T2000,先, 70,|,T2000,中, 71,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,フィリオドベント,,牡,3,*,浜中俊,56,  , , 96,+,T2000,中, 70,|,T1800,中, 74,+,T1600,中, 71,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,トウシンハンター,,牝,3,,菱田裕二,54,  , ,103,,T2000,中, 76,+,T1600,後, 68,|,T1600,中, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,トミースマイル,,牡,3,*,高倉稜,56,  , , 91,,T2000,後, 75,|,D1800,後, 56,+,T2200,後, 61,|,D1800,後, 57,|,D1800,中, 69,|,T1800,中, 68,|,D1800,後, 69,|,D1800,後, 69,|,T1800,後, 62,|,D1800,中, 70,|,T1800,中, 71,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,グリーンゼファー,,牝,3,*,岩田康誠,54,  , ,106,+,T2200,中, 77,|,T1800,中, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,マイネルリコルド,,牡,3,*,柴田大知,56,  , ,108,,T2000,逃, 76,|,T2600,逃, 71,|,T2200,逃, 62,|,T2200,逃, 79,|,T2200,逃, 79,|,T1600,中, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,15,,,,,サウンドフォース,,牡,3,,和田竜二,56,  , ,101,,D1400,後, 73,|,D1400,中, 71,|,D1400,後, 66,|,D1800,先, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ブレイブミノル,,牡,3,*,藤岡康太,56,  , , 92,,T2000,後, 57,|,D1800,後, 53,|,D1800,後, 40,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,シゲルシチフクジン,,牝,3,,藤田伸二,54,  , , 93,,T2000,中, 75,|,T2000,中, 74,|,T2000,中, 75,|,T1600,後, 67,|,T1600,後, 74,|,T1400,後, 72,|,T1400,後, 73,|,T1200,中, 67,|,T1600,中, 65,|,T1400,中, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,18,,,,,サトノシュトラール,,セ,3,*,川島信二,56,  , , 95,+,D1400,先, 60,+,D1800,後, 56,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
