枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,ZI印,ZI,ZI順,間,コース:1,脚:1,補:1,間,コース:2,脚:2,補:2,間,コース:3,脚:3,補:3,間,コース:4,脚:4,補:4,間,コース:5,脚:5,補:5,間,コース:6,脚:6,補:6,間,コース:7,脚:7,補:7,間,コース:8,脚:8,補:8,間,コース:9,脚:9,補:9,間,コース:10,脚:10,補:10,間,コース:11,脚:11,補:11,間,コース:12,脚:12,補:12,間,コース:13,脚:13,補:13,間,コース:14,脚:14,補:14,間,コース:15,脚:15,補:15,間,コース:16,脚:16,補:16,間,コース:17,脚:17,補:17,間,コース:18,脚:18,補:18,間,コース:19,脚:19,補:19,間,コース:20,脚:20,補:20,間,コース:21,脚:21,補:21,間,コース:22,脚:22,補:22,間,コース:23,脚:23,補:23,間,コース:24,脚:24,補:24,間,コース:25,脚:25,補:25,間,コース:26,脚:26,補:26,間,コース:27,脚:27,補:27,間,コース:28,脚:28,補:28,間,コース:29,脚:29,補:29,間,コース:30,脚:30,補:30,間,コース:31,脚:31,補:31,間,コース:32,脚:32,補:32,間,コース:33,脚:33,補:33,間,コース:34,脚:34,補:34,間,コース:35,脚:35,補:35,間,コース:36,脚:36,補:36,間,コース:37,脚:37,補:37,間,コース:38,脚:38,補:38,間,コース:39,脚:39,補:39,間,コース:40,脚:40,補:40,間,コース:41,脚:41,補:41,間,コース:42,脚:42,補:42,間,コース:43,脚:43,補:43,間,コース:44,脚:44,補:44,間,コース:45,脚:45,補:45,間,コース:46,脚:46,補:46,間,コース:47,脚:47,補:47,間,コース:48,脚:48,補:48,間,コース:49,脚:49,補:49,間,コース:50,脚:50,補:50,間,コース:51,脚:51,補:51,間,コース:52,脚:52,補:52,間,コース:53,脚:53,補:53,間,コース:54,脚:54,補:54,間,コース:55,脚:55,補:55,間,コース:56,脚:56,補:56,間,コース:57,脚:57,補:57,間,コース:58,脚:58,補:58,間,コース:59,脚:59,補:59,間,コース:60,脚:60,補:60,間
仮,,1,,,,,エルカミーノレアル,,牡,4,*,松田大作,57,  , ,103,11,,T2000,先,102,|,T1800,逃, 99,|,T1200,後, 98,+,D1400,後, 85,|,D1400,後, 97,|,T1200,先, 92,|,T1200,中, 98,|,T1200,後, 90,|,D1400,先, 91,|,T1400,後, 90,|,T1600,先, 80,|,T1200,中, 86,|,T1200,先, 79,+,T1200,逃, 57,|,T1600,先, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,2,,,,,カムフィー,,牡,6,,柴田善臣,57,  , ,115,2,,T2000,後,104,|,T3400,中,112,|,T2400,後,104,|,T2000,中,100,|,T2000,後, 98,|,T1600,後,101,|,T2600,中, 86,+,T2400,後, 87,|,T2200,後, 96,|,T2000,後, 95,|,T2000,後, 96,|,T2000,中, 96,+,T1800,先, 96,|,T2000,後, 97,|,T2400,中, 97,|,T2000,先, 97,|,T2200,後,100,|,T2200,先, 92,|,T2200,後, 94,|,T2600,中, 90,|,T2600,マ, 87,+,T2600,中, 90,|,T2600,先, 90,+,T2200,先, 79,|,T2200,中, 80,+,T2000,先, 80,|,T2000,中, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,B,3,,,,,カンタベリーナイト,,牡,6,,二本柳壮,57,  , , 96,13,,T2500,後,102,|,T2600,マ, 97,|,T2400,後, 94,|,T2200,後, 94,|,T2400,後, 99,|,T2500,後, 80,|,T2400,中, 83,|,T2400,後, 94,|,T2400,後, 87,=,T2400,後, 80,|,T2000,後, 90,|,T2600,中, 94,|,T2600,後, 91,|,T2400,後, 89,|,T2600,後, 94,|,T2200,後, 90,|,T2600,中, 91,|,T2600,マ, 81,|,D2400,中, 74,|,D2400,先, 80,|,D2500,中, 90,|,T2200,後, 85,|,T2600,後, 88,|,T2600,中, 85,|,T2400,中, 79,|,T2200,後, 79,|,T2500,中, 89,|,T2200,マ, 80,|,T2400,後, 79,|,T2200,後, 80,+,T2400,後, 88,|,T2600,後, 92,|,T2200,後, 93,|,T2600,中, 86,|,T2600,マ, 94,|,T2400,マ, 91,|,D2400,中, 76,|,D2500,中, 77,|,T2400,後, 90,|,T2600,後, 88,|,T2400,後, 85,|,T2400,後, 84,|,T2500,後, 86,|,T2000,後, 83,|,T2000,後, 81,=,T1800,後, 74,|,T1800,後, 76,|,D1700,後, 81,|,D1700,後, 76,|,T1600,後, 77,|,D1600,後, 77,|,D1800,後, 72,|,D1800,後, 86,|,T1600,中, 78,|,T1600,後, 79,|,D1600,後, 73,|,D1400,後, 74,|,D1400,後, 86,|,D1200,中, 79,|,D1600,後,３着,|
仮,,4,,,,,ジャイアントリープ,,牡,5,*,藤岡康太,57,  , ,108,9,,T2400,中,105,+,T2400,逃, 99,|,T1800,中,101,|,T2000,後,102,|,T2200,後, 96,|,T2400,先,104,|,T2000,中,101,|,T2400,中,100,|,T2400,中, 97,|,T1800,逃, 95,|,T2000,先, 85,|,T1800,先, 93,|,T2200,中, 94,|,T2000,中, 91,|,T2200,中,103,|,T2000,中, 93,|,T2000,中, 83,|,T2000,中, 78,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,5,,,,,シャドウダンサー,,牡,4,*,戸崎圭太,57,  , ,115,2,,T2500,先,101,|,T1800,後,109,|,T2200,中,100,|,T2200,先,107,|,T2200,先,100,+,T1800,中, 95,|,T2200,中,103,|,T2000,中, 92,+,T1800,後, 91,|,T1800,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,6,,,,,スズカヴァンガード,,セ,4,*,吉田豊,57,  , ,105,10,,T2200,中, 99,+,T2500,先,106,|,T1800,先,106,+,T2400,先,100,|,T2600,先, 99,|,T1800,先, 92,+,T1800,中, 78,|,T2600,先, 75,|,T2000,中, 76,|,T2000,中, 76,|,T2000,後, 77,|,T1600,後, 73,+,T1800,後, 55,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,7,,,,,ダービーフィズ,,牡,5,*,田中勝春,57,  ,>,113,6,,T2400,中,100,|,T2200,後, 98,|,T2400,後, 97,|,T2400,中,102,|,T2000,中, 98,|,T2200,マ,100,|,T2000,後,101,|,T2400,中,110,|,T2500,中,114,|,T2200,後,111,|,T1800,中,109,|,T3000,中, 86,|,T2200,中,105,|,T2000,中, 97,|,T1800,後, 98,|,T2400,中, 95,|,T2000,中, 99,|,T1800,先, 92,|,T1800,中, 92,|,T2000,中, 82,|,T1800,後, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,8,,,,,タイセイドリーム,,牡,5,*,大野拓弥,57,  , ,115,2,,T2200,先,102,=,T2000,中,102,|,T3400,先, 66,+,T2000,先,107,|,T2000,後,104,|,T2400,中,101,|,T2200,中,101,|,T2200,後, 93,|,T2000,中, 89,+,T2400,先, 91,|,T2400,先, 95,|,T2200,中, 98,|,T2200,先, 92,=,T2000,中, 93,|,T1800,中, 96,|,T2200,後, 93,+,T2000,中, 92,|,T2200,先, 92,|,T2000,中, 92,|,T1400,先, 91,+,D1600,後, 65,|,T1400,中, 90,|,T1600,後, 84,+,T1600,先, 85,|,T1400,中, 92,|,T1600,先, 85,|,T1600,中, 89,+,T1600,中, 83,|,T1400,先, 85,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,,9,,,,,ダイワリベラル,,牡,4,,三浦皇成,57,  , ,125,1,,T1800,先,107,|,T1800,先,107,|,T2200,先,105,|,T1800,先,101,|,T2000,中, 94,|,T2200,中,106,+,T2000,先, 93,|,T1800,先, 92,+,T2000,先, 92,|,T2400,先, 92,|,T2000,先, 80,|,T1800,中, 77,+,D1400,中, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仮,B,10,,,,,マイネルアイザック,,牡,6,*,柴田大知,57,  , ,110,7,,T2500,中,104,|,T2400,先,103,|,T2500,先,103,|,T2400,先, 95,|,T2400,後,100,|,T2000,先, 97,|,T2000,逃,100,|,T2000,逃,101,+,T2200,先,103,|,T2400,先,103,|,T2400,逃,105,|,T2500,先,104,|,T2400,中, 98,|,T2400,先, 95,|,T2400,中, 98,|,T2400,先, 95,|,T2600,中, 57,+,T2400,中,101,|,T2600,中, 99,|,T2200,先, 96,|,T2600,中, 92,|,T2200,先, 91,|,T2200,中, 84,|,T2200,中, 84,|,T2200,中, 92,|,T2000,中, 89,+,T2000,先, 81,|,T2000,先, 78,|,T2200,先, 74,|,T2000,逃, 75,|,T2200,先, 77,|,T2000,中, 68,+,T2000,後, 60,|,T2000,先, 75,|,T1800,中, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,
