"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"1","1","101.35","12","y=2.49x+71.47","96","99","87","9.28","85.17","99","71","110.63","92.07"
"6","6","100.95","15","y=0.71x+90.29","97","91","97","8.81","95.27","111","81","109.76","92.14"
"5","5","98.56","12","y=3.46x+57.06","95","82","98","13.79","76.08","98","55","112.35","84.77"
"9","9","97.43","7","y=2.50x+79.93","96","94","81","6.74","87.43","96","79","104.17","90.69"
"10","10","97.2","33","y=0.60x+77.40","91","96","91","8.79","87","98","69","105.99","88.41"
"2","2","95.1","44","y=0.39x+77.93","95","91","91","7.29","86.32","98","64","102.39","87.81"
"7","7","94.8","12","y=3.14x+57.17","92","95","91","14.36","74.42","95","47","109.16","80.45"
"3","3","93.82","11","y=1.86x+73.32","92","89","92","9.82","82.64","92","62","103.64","84"
"4","4","92.32","25","y=0.50x+79.78","95","91","99","11.81","85.8","102","57","104.13","80.51"
"12","12","89.87","55","y=0.08x+85.22","77","85","87","5.81","87.5","96","71","95.68","84.06"
"8","8","87.99","17","y=0.75x+75.24","83","91","92","7.87","81.24","92","58","95.86","80.11"
"11","11","86.87","23","y=0.40x+77.78","94","93","94","13.89","82.13","97","40","100.77","72.98"
