"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","83.00","4","y=1.30x+77.80","82.00","80.00","79.00","1.48","79.75","82.00","78.00","84.48","81.52"
"2","86.92","24","y=0.17x+82.75","85.00","88.00","89.00","5.62","84.75","94.00","71.00","92.55","81.30"
"3","100.81","13","y=2.76x+64.88","91.00","93.00","92.00","12.33","81.46","93.00","53.00","113.13","88.48"
"4","73.99","25","y=0.05x+72.76","73.35","70.00","62.00","9.04","73.35","89.00","55.00","83.03","64.95"
"5","80.52","14","y=0.37x+75.38","77.00","77.00","77.77","4.77","77.77","88.00","70.00","85.29","75.75"
"6","79.88","13","y=0.01x+79.81","78.00","91.00","65.00","6.17","79.85","91.00","65.00","86.06","73.71"
"7","88.29","19","y=0.75x+74.00","79.00","94.00","95.00","6.47","80.77","95.00","64.00","94.76","81.83"
"8","62.69","21","y=-0.14x+65.57","58.00","64.20","64.20","3.73","64.20","75.00","54.00","66.42","58.95"
"9","92.95","18","y=0.78x+78.94","74.00","92.00","81.00","9.88","85.56","99.00","68.00","102.83","83.07"
"10","82.48","14","y=1.14x+66.51","81.00","82.00","86.00","7.74","73.93","86.00","57.00","90.22","74.74"
"11","72.25","19","y=0.41x+64.41","58.00","68.13","78.00","5.78","68.13","79.00","54.00","78.03","66.47"
"12","91.56","9","y=4.27x+53.16","85.00","81.00","80.00","11.87","70.22","85.00","52.00","103.42","79.69"
"13","86.11","23","y=0.39x+77.07","82.00","85.00","82.00","5.02","81.39","88.00","71.00","91.13","81.09"
